Sample,Time_us,Raw_u16,Voltage_V
0,214,11426,0.575354
1,1013,11618,0.585022
2,2014,11842,0.596301
3,3010,12130,0.610803
4,4014,12547,0.631801
5,5010,12979,0.653555
6,6014,13395,0.674502
7,7011,13651,0.687393
8,8015,13715,0.690616
9,9012,13619,0.685782
10,10009,13491,0.679336
11,11013,13331,0.671279
12,12010,13283,0.668862
13,13014,13379,0.673696
14,14010,13603,0.684976
15,15014,13923,0.701090
16,16010,14179,0.713980
17,17009,14355,0.722843
18,18013,14339,0.722037
19,19010,14163,0.713175
20,20013,13923,0.701090
21,21010,13715,0.690616
22,22014,13603,0.684976
23,23010,13667,0.688199
24,24014,13859,0.697867
25,25013,14131,0.711563
26,26010,14387,0.724454
27,27014,14515,0.730900
28,28011,14483,0.729288
29,29014,14307,0.720426
30,30011,14051,0.707535
31,31015,13827,0.696255
32,32011,13699,0.689810
33,33012,13731,0.691421
34,34014,13923,0.701090
35,35010,14179,0.713980
36,36014,14435,0.726871
37,37011,14563,0.733317
38,38014,14531,0.731705
39,39011,14355,0.722843
40,40015,14083,0.709146
41,41009,13843,0.697061
42,42013,13715,0.690616
43,43010,13747,0.692227
44,44014,13939,0.701895
45,45010,14195,0.714786
46,46014,14435,0.726871
47,47011,14563,0.733317
48,48014,14531,0.731705
49,49011,14355,0.722843
50,50011,14067,0.708341
51,51008,13843,0.697061
52,52012,13715,0.690616
53,53009,13763,0.693033
54,54013,13923,0.701090
55,55009,14211,0.715592
56,56013,14451,0.727677
57,57008,14563,0.733317
58,58015,14515,0.730900
59,59011,14307,0.720426
60,60015,14067,0.708341
61,61012,13811,0.695450
62,62008,13667,0.688199
63,63012,13731,0.691421
64,64008,13907,0.700284
65,65010,14163,0.713175
66,66009,14419,0.726065
67,67013,14547,0.732511
68,68009,14531,0.731705
69,69013,14339,0.722037
70,70010,14051,0.707535
71,71014,13827,0.696255
72,72010,13683,0.689004
73,73012,13731,0.691421
74,74010,13891,0.699478
75,75014,14179,0.713980
76,76010,14435,0.726871
77,77014,14563,0.733317
